nom,longitude,latitude
Mont Saint Michel,-1.51146,48.6359541
St Malo,-2.0260409,48.649518
Bayeux,-0.7024738,49.2764624
Le Havre,0.1079732,49.4938975
Rouen,1.0939658,49.4404591
Paris,2.320041,48.8588897
Amiens,2.2956951,49.8941708
Lille,3.0635282,50.6365654
Strasbourg,7.7507127,48.584614
Chateau du Haut Koenigsbourg,7.344320233724503,48.249410749999996
Colmar,7.3579641,48.0777517
Eguisheim,7.3079618,48.0447968
Besancon,6.0243622,47.2380222
Dijon,5.0414701,47.3215806
Annecy,6.1288847,45.8992348
Grenoble,5.7357819,45.1875602
Lyon,4.8320114,45.7578137
Gorges du Verdon,6.3285616,43.7496562
Bormes les Mimosas,6.3419285,43.1506968
Cassis,5.5396318,43.2140359
Marseille,5.3699525,43.2961743
Aix en Provence,5.4474738,43.5298424
Avignon,4.8059012,43.9492493
Uzes,4.4196718,44.0121279
Nimes,4.3600687,43.8374249
Aigues Mortes,4.19154,43.5661521
Saintes Maries de la mer,4.4277202,43.4515922
Collioure,3.0831554,42.52505
Carcassonne,2.3491069,43.2130358
Ariege,1.4065543999999999,42.9455368
Toulouse,1.4442469,43.6044622
Montauban,1.3549991,44.0175835
Biarritz,-1.5592776,43.4832523
Bayonne,-1.4736657,43.4945144
La Rochelle,-1.1515951,46.159732
